#x dx y dy
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.014 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
81.333 0.001 0.015 0.015
